id,full_name,nic_number,license_number,phone,address,is_active
104,Driver 104,000000104V,LIC-000104,0770000104,"No 104, Driver Street, Colombo",1
105,Driver 105,000000105V,LIC-000105,0770000105,"No 105, Driver Street, Colombo",1
106,Driver 106,000000106V,LIC-000106,0770000106,"No 106, Driver Street, Colombo",1
107,Driver 107,000000107V,LIC-000107,0770000107,"No 107, Driver Street, Colombo",1
108,Driver 108,000000108V,LIC-000108,0770000108,"No 108, Driver Street, Colombo",1
109,Driver 109,000000109V,LIC-000109,0770000109,"No 109, Driver Street, Colombo",1
110,Driver 110,000000110V,LIC-000110,0770000110,"No 110, Driver Street, Colombo",1
111,Driver 111,000000111V,LIC-000111,0770000111,"No 111, Driver Street, Colombo",1
112,Driver 112,000000112V,LIC-000112,0770000112,"No 112, Driver Street, Colombo",1
113,Driver 113,000000113V,LIC-000113,0770000113,"No 113, Driver Street, Colombo",1
114,Driver 114,000000114V,LIC-000114,0770000114,"No 114, Driver Street, Colombo",1
115,Driver 115,000000115V,LIC-000115,0770000115,"No 115, Driver Street, Colombo",1
116,Driver 116,000000116V,LIC-000116,0770000116,"No 116, Driver Street, Colombo",1
117,Driver 117,000000117V,LIC-000117,0770000117,"No 117, Driver Street, Colombo",1
118,Driver 118,000000118V,LIC-000118,0770000118,"No 118, Driver Street, Colombo",1
119,Driver 119,000000119V,LIC-000119,0770000119,"No 119, Driver Street, Colombo",1
120,Driver 120,000000120V,LIC-000120,0770000120,"No 120, Driver Street, Colombo",1
121,Driver 121,000000121V,LIC-000121,0770000121,"No 121, Driver Street, Colombo",1
122,Driver 122,000000122V,LIC-000122,0770000122,"No 122, Driver Street, Colombo",1
123,Driver 123,000000123V,LIC-000123,0770000123,"No 123, Driver Street, Colombo",1
124,Driver 124,000000124V,LIC-000124,0770000124,"No 124, Driver Street, Colombo",1
125,Driver 125,000000125V,LIC-000125,0770000125,"No 125, Driver Street, Colombo",1
126,Driver 126,000000126V,LIC-000126,0770000126,"No 126, Driver Street, Colombo",1
127,Driver 127,000000127V,LIC-000127,0770000127,"No 127, Driver Street, Colombo",1
128,Driver 128,000000128V,LIC-000128,0770000128,"No 128, Driver Street, Colombo",1
129,Driver 129,000000129V,LIC-000129,0770000129,"No 129, Driver Street, Colombo",1
130,Driver 130,000000130V,LIC-000130,0770000130,"No 130, Driver Street, Colombo",1
131,Driver 131,000000131V,LIC-000131,0770000131,"No 131, Driver Street, Colombo",1
132,Driver 132,000000132V,LIC-000132,0770000132,"No 132, Driver Street, Colombo",1
133,Driver 133,000000133V,LIC-000133,0770000133,"No 133, Driver Street, Colombo",1
134,Driver 134,000000134V,LIC-000134,0770000134,"No 134, Driver Street, Colombo",1
135,Driver 135,000000135V,LIC-000135,0770000135,"No 135, Driver Street, Colombo",1
136,Driver 136,000000136V,LIC-000136,0770000136,"No 136, Driver Street, Colombo",1
137,Driver 137,000000137V,LIC-000137,0770000137,"No 137, Driver Street, Colombo",1
138,Driver 138,000000138V,LIC-000138,0770000138,"No 138, Driver Street, Colombo",1
139,Driver 139,000000139V,LIC-000139,0770000139,"No 139, Driver Street, Colombo",1
140,Driver 140,000000140V,LIC-000140,0770000140,"No 140, Driver Street, Colombo",1
141,Driver 141,000000141V,LIC-000141,0770000141,"No 141, Driver Street, Colombo",1
142,Driver 142,000000142V,LIC-000142,0770000142,"No 142, Driver Street, Colombo",1
143,Driver 143,000000143V,LIC-000143,0770000143,"No 143, Driver Street, Colombo",1
144,Driver 144,000000144V,LIC-000144,0770000144,"No 144, Driver Street, Colombo",1
145,Driver 145,000000145V,LIC-000145,0770000145,"No 145, Driver Street, Colombo",1
146,Driver 146,000000146V,LIC-000146,0770000146,"No 146, Driver Street, Colombo",1
147,Driver 147,000000147V,LIC-000147,0770000147,"No 147, Driver Street, Colombo",1
148,Driver 148,000000148V,LIC-000148,0770000148,"No 148, Driver Street, Colombo",1
149,Driver 149,000000149V,LIC-000149,0770000149,"No 149, Driver Street, Colombo",1
150,Driver 150,000000150V,LIC-000150,0770000150,"No 150, Driver Street, Colombo",1
151,Driver 151,000000151V,LIC-000151,0770000151,"No 151, Driver Street, Colombo",1
152,Driver 152,000000152V,LIC-000152,0770000152,"No 152, Driver Street, Colombo",1
153,Driver 153,000000153V,LIC-000153,0770000153,"No 153, Driver Street, Colombo",1
154,Driver 154,000000154V,LIC-000154,0770000154,"No 154, Driver Street, Colombo",1
155,Driver 155,000000155V,LIC-000155,0770000155,"No 155, Driver Street, Colombo",1
156,Driver 156,000000156V,LIC-000156,0770000156,"No 156, Driver Street, Colombo",1
157,Driver 157,000000157V,LIC-000157,0770000157,"No 157, Driver Street, Colombo",1
158,Driver 158,000000158V,LIC-000158,0770000158,"No 158, Driver Street, Colombo",1
159,Driver 159,000000159V,LIC-000159,0770000159,"No 159, Driver Street, Colombo",1
160,Driver 160,000000160V,LIC-000160,0770000160,"No 160, Driver Street, Colombo",1
161,Driver 161,000000161V,LIC-000161,0770000161,"No 161, Driver Street, Colombo",1
162,Driver 162,000000162V,LIC-000162,0770000162,"No 162, Driver Street, Colombo",1
163,Driver 163,000000163V,LIC-000163,0770000163,"No 163, Driver Street, Colombo",1
164,Driver 164,000000164V,LIC-000164,0770000164,"No 164, Driver Street, Colombo",1
165,Driver 165,000000165V,LIC-000165,0770000165,"No 165, Driver Street, Colombo",1
166,Driver 166,000000166V,LIC-000166,0770000166,"No 166, Driver Street, Colombo",1
167,Driver 167,000000167V,LIC-000167,0770000167,"No 167, Driver Street, Colombo",1
168,Driver 168,000000168V,LIC-000168,0770000168,"No 168, Driver Street, Colombo",1
169,Driver 169,000000169V,LIC-000169,0770000169,"No 169, Driver Street, Colombo",1
170,Driver 170,000000170V,LIC-000170,0770000170,"No 170, Driver Street, Colombo",1
171,Driver 171,000000171V,LIC-000171,0770000171,"No 171, Driver Street, Colombo",1
172,Driver 172,000000172V,LIC-000172,0770000172,"No 172, Driver Street, Colombo",1
173,Driver 173,000000173V,LIC-000173,0770000173,"No 173, Driver Street, Colombo",1
174,Driver 174,000000174V,LIC-000174,0770000174,"No 174, Driver Street, Colombo",1
175,Driver 175,000000175V,LIC-000175,0770000175,"No 175, Driver Street, Colombo",1
176,Driver 176,000000176V,LIC-000176,0770000176,"No 176, Driver Street, Colombo",1
177,Driver 177,000000177V,LIC-000177,0770000177,"No 177, Driver Street, Colombo",1
178,Driver 178,000000178V,LIC-000178,0770000178,"No 178, Driver Street, Colombo",1
179,Driver 179,000000179V,LIC-000179,0770000179,"No 179, Driver Street, Colombo",1
180,Driver 180,000000180V,LIC-000180,0770000180,"No 180, Driver Street, Colombo",1
181,Driver 181,000000181V,LIC-000181,0770000181,"No 181, Driver Street, Colombo",1
182,Driver 182,000000182V,LIC-000182,0770000182,"No 182, Driver Street, Colombo",1
183,Driver 183,000000183V,LIC-000183,0770000183,"No 183, Driver Street, Colombo",1
184,Driver 184,000000184V,LIC-000184,0770000184,"No 184, Driver Street, Colombo",1
185,Driver 185,000000185V,LIC-000185,0770000185,"No 185, Driver Street, Colombo",1
186,Driver 186,000000186V,LIC-000186,0770000186,"No 186, Driver Street, Colombo",1
187,Driver 187,000000187V,LIC-000187,0770000187,"No 187, Driver Street, Colombo",1
188,Driver 188,000000188V,LIC-000188,0770000188,"No 188, Driver Street, Colombo",1
189,Driver 189,000000189V,LIC-000189,0770000189,"No 189, Driver Street, Colombo",1
190,Driver 190,000000190V,LIC-000190,0770000190,"No 190, Driver Street, Colombo",1
191,Driver 191,000000191V,LIC-000191,0770000191,"No 191, Driver Street, Colombo",1
192,Driver 192,000000192V,LIC-000192,0770000192,"No 192, Driver Street, Colombo",1
193,Driver 193,000000193V,LIC-000193,0770000193,"No 193, Driver Street, Colombo",1
194,Driver 194,000000194V,LIC-000194,0770000194,"No 194, Driver Street, Colombo",1
195,Driver 195,000000195V,LIC-000195,0770000195,"No 195, Driver Street, Colombo",1
196,Driver 196,000000196V,LIC-000196,0770000196,"No 196, Driver Street, Colombo",1
197,Driver 197,000000197V,LIC-000197,0770000197,"No 197, Driver Street, Colombo",1
198,Driver 198,000000198V,LIC-000198,0770000198,"No 198, Driver Street, Colombo",1
199,Driver 199,000000199V,LIC-000199,0770000199,"No 199, Driver Street, Colombo",1
200,Driver 200,000000200V,LIC-000200,0770000200,"No 200, Driver Street, Colombo",1
